title,address,city,state,zipcode,phone,type
COST PLUS #235,2534 BERRY HILL ROAD,MONTGOMERY,AL,36117,0,Package
COST PLUS WORLD MARKET #264,10200 EASTERN SHORE BLVD. SUITE 160,SPANISH FORT,AL,36527,0,Package
DIXIE FISH COMPANY,101-RESOURCE DRIVE,BIRMINGHAM,AL,35244,0,Package
LIQUOR EXPRESS,1802 UNIVERSITY DRIVE,HUNTSVILLE,AL,35801,0,Package
COST PLUS WORLD MARKET #222,4381-CREEKSIDE AVENUE,HOOVER,AL,35244,0,Package
THE FRESH MARKET #000083,4800-WHITESBURG DRIVE,HUNTSVILLE,AL,35802,0,Package
COST PLUS WORLD MARKET #175,4608-HIGHWAY 280,BIRMINGHAM,AL,35242,0,Package
CRAZY CAJUN,125 INVERNESS PLAZA,HOOVER,AL,35242,0,Package
THE FRESH MARKET #151,6900-US HIGHWAY 90  SUITE 2,DAPHNE,AL,36526,0,Package
MELLOW MUSHROOM,1110-NO.BOLL WEEVIL CIRCLE-STE A&B,ENTERPRISE,AL,36330,0,Package
O. K. BICYCLE SHOP,661 DAUPHIN STREET,MOBILE,AL,36602,0,Package
PUBLIX #1228,2451 COBBS FORD RD,PRATTVILLE,AL,36066,0,Package
ALEXANDRIA PACKAGE STORE,81-BIG VALLEY DRIVE  SUITE D,ALEXANDRIA,AL,36250,0,Package
AAFES MINI MALL  BLDG.6600,DUST OFF & ANDREWS ROAD,FT. RUCKER,AL,36362,0,Package
PUBLIX #1391,2040-MARTIN STREET  PELL CITY,PELL CITY,AL,35128,0,Package
COUNTY LINE C STORE,315-CANE CREEK ROAD,WARRIOR,AL,35180,0,Package
LEGENDS SPORTS CAFE LLC,207 E BOARD STREET,EUFAULA,AL,36027,0,Package
VOWELL'S FRESH MARKET,625-HIGHWAY 80 EAST  DEMOPOLIS,DEMOPOLIS,AL,36732,0,Package
MOODY LIQUORS,2616-MOODY PARKWAY  MOODY,MOODY,AL,35004,0,Package
COTTAGE HILL PACKAGE STORE,6376 COTTAGE HILL ROAD,MOBILE,AL,36695,0,Package
DEEP COUNTRY GROCERY,3118-HIGHWAY 52 WEST,PELHAM,AL,35124,0,Package
SATSUMA CHEVRON,6105-HIGHWAY 43,SATSUMA,AL,36525,0,Package
TARGET # 1376,790 SCHILLINGER ROAD,MOBILE,AL,36608,0,Package
TIM'S CAJUN KITCHEN,114-JORDAN LANE,HUNTSVILLE,AL,35810,0,Package
BRUNO'S # 84,2001 MCFARLAND BLVD,TUSCALOOSA,AL,35401,0,Package
PUBLIX #1026,7700 VAUGHN ROAD,MONTGOMERY,AL,36116,0,Package
COST PLUS #322,2546 ENTERPRISE DRIVE,OPELIKA,AL,36801,0,Package
HOP CITY/OFF,2924-3RD AVENUE SOUTH  BIRMINGHAM,BIRMINGHAM,AL,35233,0,Package
PUBLIX #  75,4851-RICE MINE ROAD  SUITE 200,TUSCALOOSA,AL,35401,0,Package
BRUNO'S #310,306 SO.UNIVERSITY BLVD.,MOBILE,AL,36609,0,Package
PLEASURE IS ALL WINE,2152-PELHAM PARKWAY,PELHAM,AL,35124,0,Package
S & S SPIRITS,542-WEST MAIN STREET  GLENCOE,ETOWAH CO.,AL,35903,0,Package
THE BIG EASY RESTAURANT AND SEAFOOD,800-HIGHWAY 72 WEST  SUITE E,ATHENS,AL,35611,0,Package
WINDMILL 67,HIGHWAY 67 AT BURNINGTREE RD,DECATUR,AL,35602,0,Package
FOOD WORLD #337,112 SARALAND LOOP,SARALAND,AL,36571,0,Package
MELLOW MUSHROOM PIZZA,2641 LEGENDS PARKWAY,PRATTVILLE,AL,36066,0,Package
MCLEODS PUBLICK HOUSE,5630-WEST MAIN STREET SUITE 8,DOTHAN,AL,36305,0,Package
MARK'S MART # 2,1022 CO. RD. 44,SELMA,AL,36701,0,Package
PIKE ROAD BUTCHER BLOCK,2559-VAUGHAN ROAD,PIKE ROAD,AL,36064,0,Package
BASKET OF CHEER,1230 WESTGATE PKWY SUITE 8,DOTHAN,AL,36303,0,Package
KITCHEN ON GEORGE,351A GEORGE STREET,MOBILE,AL,36604,0,Package
PUBLIX #1207,1584-MONTGOMERY HIGHWAY  HOOVER,HOOVER,AL,35216,0,Package
MELLOW MUSHROOM,33-INDUSTRIAL DRIVE,OXFORD,AL,36203,0,Package
ALL IN ONE EXXON,US 280 & WASHINGTON STREET,KELLYTON,AL,35089,0,Package
WERNER TRADING,1115-4TH STREET SOUTHEAST,CULLMAN,AL,35055,0,Package
PETE'S PACKAGE STORE TOO  INC,1402 SOUTH BRUNDIDGE STREET,TROY,AL,36081,0,Package
NEW YORK BUTCHER SHOPPE,3158-HEIGHTS VILLAGE  BIRMINGHAM,BIRMINGHAM,AL,35243,0,Package
KENDRICK SPIRITS,3376-CLOVERDALE ROAD  FLORENCE,FLORENCE,AL,35633,0,Package
BRUNO'S #309,6729 SPANISH FORT BLVD,SPANISH FORT,AL,36527,0,Package
BRUNO'S #323,4350 OLD SHELL RD.,MOBILE,AL,36608,0,Package
CITGO FUEL EXPRESS,2064-B U.S. HIGHWAY 72 EAST,HUNTSVILLE,AL,35811,0,Package
CRESTWOOD COFFEE COMPANY,5512-CRESTWOOD BOULEVARD BHAM,BIRMINGHAM,AL,35212,0,Package
BROWN & CO BEVERAGES,5285-ALABAMA HIGHWAY 157 NORTHWEST,CULLMAN,AL,35058,0,Package
CAINS GROCERY #2,1200 S. MCKENZIE STREET,FOLEY,AL,36535,0,Package
THE FRESH MARKET,4700-U.S. HIGHWAY 280  SUITE 6,HOOVER,AL,35242,0,Package
BOTTLE SHOP,HIGHWAY 119,ALABASTER,AL,35007,0,Package
BUCKS PIZZA,251-BUCK CREEK CIRCLE  ALABASTER,ALABASTER,AL,35007,0,Package
THE INN AT MADISON,9035-MADISON BOULEVARD,MADISON,AL,35758,0,Package
HIGHLAND PACKAGE STORE,2228-A HIGHLAND AVENUE SOUTH,BIRMINGHAM,AL,35205,0,Package
VULCAN BEVERAGE,409-UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35205,0,Package
DARBY DRIVE PACKAGE,1820 DARBY DRIVE,FLORENCE,AL,35630,0,Package
LOST CAJUN,204 MAIN ST,FRISCO,CO,80443,0,Package
JAX FISH HOUSE,123 N COLLEGE AVE,FT COLLINS,CO,80524,9706822275,Package
MO' BETTA GUMBO,141 EAST 4TH STREET,LOVELAND,CO,80537,8179132096,Package
TIPSY'S,5869 S ALKIRE ST,LITTLETON,CO,80127,3035517000,Package
NO NO'S CAFE,3005 W COUNTYLINE RD,LITTLETON,CO,80129,3037388330,Package
WILBURS TOTAL BEVERAGE,2201 S COLLEGE AVE 108,FT COLLINS,CO,80525,9702268662,Package
DAVIDSONS LIQUOR,5555 BOATWORKS DRIVE,HIGHLANDS RANCH,CO,80126,3032240444,Package
BAYOU BOBS,1635 GLENARM,DENVER,CO,80202,3035736828,Package
LOST CAJUN- BRECK,411 S MAIN ST #4,BRECKENRIDGE,CO,80424,0,Package
APPLEJACK LIQUORS,3320 YOUNGFIELD,WHEATRIDGE,CO,80033,3032333331,Package
SQUARE GROUPER,304 E. HOPKINS AVENUE #1,ASPEN,CO,81611,0,Package
NORTON'S CATERING,955 HWY 3,DURANGO,CO,81301,9702444702,Package
ARGONAUT WINE & LIQUOR,700 E COLFAX,DENVER,CO,80203,3038317788,Package
EPIC BEER FESTIVAL,700 14TH ST,DENVER,CO,80202,0,Package
FISHERS LIQUOR BARN,2438 PATTERSON ROAD,GRAND JUNCTION,CO,81505,9702420999,Package
LIQUOR MART,1750 15TH ST,BOULDER,CO,80302,3034493374,Package
BIN 707 FOOD BAR,225 N 5TH ST STE 105,GRAND JUNCTION,CO,81501,9702434543,Package
COLORADO LIQUOR OUTLET,1615 BRIARGATE BLVD,COLO SPGS,CO,80920,7192669300,Package
SPRINGS LIQUOR OUTLET,6010 N. CAREFREE CIR.,COLO SPGS,CO,80922,7195735777,Package
SOUTH LOGAN LUCILLE'S,275 S. LOGAN ST.,DENVER,CO,80209,3032826258,Package
LOST CAJUN,56 EDWARDS VILLAGE BLV #112,EDWARDS,CO,81632,0,Package
HIGHLANDS WINE & LIQUOR,4650 W 38TH AVE # 100,DENVER,CO,80212,3033274972,Package
CHEER'S LIQUOR MART,1105 N CIRCLE DRIVE,COLO SPGS,CO,80909,7195742244,Package
DAVECO,16434 N. WASHINGTON ST,THORNTON,CO,80020,3039513823,Package
BUBBLES LIQUOR MART,675 GENOA WAY,CASTLE ROCK,CO,80104,3034688100,Package
INCREDIBLE WINE AND SPIRITS,8557A E. ARAPAHOE RD,GREENWOOD VILLAG,CO,80112,3034889463,Package
MOE'S ORIGINAL BBQ & BOWLING,3295 S. BROADWAY,ENGLEWOOD,CO,80110,3037810414,Package
SANTA FE SPIRITS,6023 S SANTA FE DR,LITTLETON,CO,80120,3037978181,Package
CLUBHAUS THE,106 STONE ST,MORRISON,CO,80465,3035709962,Package
MORGAN'S LIQUOR,1200 E EVANS,DENVER,CO,80210,3037776223,Package
LUKAS LIQUOR SUPERSTORE,8457 S YOSEMITE,LONE TREE,CO,80124,3037922288,Package
QUEEN LIQUORS,1744 W UINTAH DR,COLO SPGS,CO,80904,7194751744,Package
CHAMBERS WINES & LIQUORS,15260 E ILIFF AVE,AURORA,CO,80014,3037516935,Package
GREAT VINES LIQUOR,6140 S. GUNCLUB RD #J,AURORA,CO,80016,3036178800,Package
AMERICAN LIQUORS,1333 W ALAMEDA,DENVER,CO,80223,3037777837,Package
KART LIQUORS,1306 W EDISON ST,BRUSH,CO,80723,9708425572,Package
BANANA BELT LIQUORS,300 E US HWY 24 UNIT D,WOODLAND PARK,CO,80863,7196879757,Package
WESTSIDE LIQUOR INC,2209 W WILDCAT RES PKWY,HIGHLANDS RANCH,CO,80129,3033463400,Package
DIVINO,1240 S BROADWAY,DENVER,CO,80210,3037781800,Package
SOUTHERN HOSPITALITY,1433 17TH ST STE 150,DENVER,CO,80202,0,Package
MONDOVINO,3601 W 32ND AVE,DENVER,CO,80211,3034583858,Package
PARKER PAYLESS LIQUORS,9749 S. PARKER RD.,PARKER,CO,80134,3038413333,Package
BIG BEAR WINE AND LIQUOR,2037 S PUEBLO BLVD,PUEBLO,CO,81005,0,Package
BONNIE BRAE WINE & LIQUOR MART,785 S UNIVERSITY,DENVER,CO,80209,3037337261,Package
HIGHLINE CAFE AND SALOON,12779 HWY 24,HARTSEL,CO,80449,0,Package
TOWER LIQUORS,18611 E 48TH AVE,DENVER,CO,80249,3033711854,Package
LA VETA INN,103 E RYUS,LA VETA,CO,81055,7197423700,Package
HERITAGE LIQUOR STORE,7475 E ARAPAHOE RD,CENTENNIAL,CO,80112,3037708212,Package
FOOTHILLS LIQUOR,13079 W. ALAMEDA,LAKEWOOD,CO,80228,3037167525,Package
3 ROCK LIQUORS,6160 FIRESTONE BLVD #110,FIRESTONE,CO,80520,0,Package
VINELAND LIQUORS,8770 WADSWORTH BLVD #K,ARVADA,CO,80003,3034212411,Package
TOTAL BEVERAGE,770 EAST 104TH AVE,THORNTON,CO,80233,3032803800,Package
SPORTSMANS DISCOUNT LIQUOR,1817 MAIN STREET #201,LONGMONT,CO,80501,3037764060,Package
WEST SLOPE LIQ,1401 E MAIN ST,CORTEZ,CO,81321,9705657364,Package
LINCOLN'S ROADHOUSE,1201 SOUTH PEARL,DENVER,CO,80203,3037773700,Package
JAGS BAYOU LTD,919 GRAND AVE,GLENWOOD SPGS,CO,81602,9709451047,Package
A-1 LIQUOR,106 E. JEFFERSON AVE,HAYDEN,CO,81639,9702762040,Package
80 TWENTY WINES,415 N GREENWOOD STE C,PUEBLO,CO,81003,0,Package
ZIGGIES,4923 W. 38TH,DENVER,CO,80212,3038081903,Package
BROADWAY DISCOUNT LIQUORS,4615 S. BROADWAY,ENGLEWOOD,CO,80113,3037892999,Package
SUPER MARKET LIQUORS INC,1300 E MULBERRY,FT COLLINS,CO,80521,9702212428,Package
COLLEGE LIQUORS INC,2695 PATTERSON RD,GRAND JUNCTION,CO,81506,9702550670,Package
CLIFTON LIQUORS,3255 F ROAD,CLIFTON,CO,81520,9704346039,Package
WORLD BEVERAGE INC,3665 N GARFIELD,LOVELAND,CO,80538,9706692999,Package
WILLOW RUN LIQUORS,12860 N. ZUNI STE 100,WESTMINSTER,CO,80234,3034515335,Package
GOLD HILL LIQUOR,797 GOLD HILL SQ. SOU.,WOODLAND PARK,CO,80866,7196879149,Package
3-S LIQUOR,8031 WADSWORTH D6,ARVADA,CO,80003,3034223001,Package
CENTENNIAL SQUARE LIQUOR,1600 HOVER ST,LONGMONT,CO,80501,3036519395,Package
CITY LIQUOR STORE,708 MAIN ST.,SPRINGFIELD,CO,81073,7195236636,Package
HORIZON PARK LIQUOR,2255 N. MAIN #109&110,LONGMONT,CO,80501,3036829198,Package
LADY FALCONBURGH'S BARLEY EXCH,640 MAIN AVE,DURANGO,CO,81301,9703829664,Package
COCONUTS,1153 BERGEN PKWY,EVERGREEN,CO,80439,3036700800,Package
LUCILES OF LITTLETON,2852 W BOWLES,LITTLETON,CO,80123,0,Package
CORNERSTAR LIQUORS,15405 E BRIARWOOD CIR,AURORA,CO,80016,3033609463,Package
BELLEVIEW SQUARE WINE & SPIRIT,4920 SO. YOSEMITE,GREENWOOD VILLAG,CO,80111,3037701200,Package
HIGH NOON LIQUORS,5380 MISSISSIPPI,LAKEWOOD,CO,80226,3039357622,Package
UNION WINE & SPIRITS,295 SO UNION BLVD,LAKEWOOD,CO,80228,3039892184,Package
DENVER LIQUOR GALAXY,8968 E HAMPDEN AVE,DENVER,CO,80231,0,Package
WEBER ST LIQUORS INC,712 N WEBER ST,COLO SPGS,CO,80903,7194759533,Package
TELLURIDE CONFERENCE CENTER,580 MTN VILLAGE BLVD,MOUNTAIN VILLAGE,CO,81435,9703696400,Package
LIQUOR WORLD,695 CAMINO DEL RIO,DURANGO,CO,81301,9702590144,Package
ANTLERS CAFE AND BAR,46 MOFFAT AVE,YAMPA,CO,80483,0,Package
MONUMENT LIQUOR MART,15756 JACKSON CRK PKWY,MONUMENT,CO,80132,7194873301,Package
HIGHLANDS WINE SELLER,6668 TIMBERLINE RD,HIGHLANDS RANCH,CO,80126,7208899463,Package
DILLON RIDGE LIQUORS,294 US HWY 6 UNIT B,DILLON,CO,80435,9704680298,Package
TURNBERRY LIQUOR,12302 E 104TH PL UNIT 104,COMMERCE CITY,CO,80022,3032894045,Package
OUTBACK LIQUORS,113 S. ELIZABETH ST,ELIZABETH,CO,80107,3036464449,Package
LIQUOR KABINET,3035 W PROSPECT RD,FORT COLLINS,CO,80526,0,Package
SMOKY HILL VILLAGE LIQUORS,19731 E SMOKY HILL,AURORA,CO,80015,3036908600,Package
FT.COLLINS WAREHOUSE LIQ.,4700 BOARDWALK,FT COLLINS,CO,80525,9702251300,Package
SWEETWATER LIQUORS,701 CHAMBERS AVE,EAGLE,CO,81631,9703281608,Package
PARTY SPIRITS,348 W FIRST,SALIDA,CO,81201,7195398636,Package
COUNTRY CLUB LIQUORS,683 HORIZON DR # 105,GRAND JUNCTION,CO,81506,9702457333,Package
STAR LIQUORS,1485 FLORIDA RD C-#100,DURANGO,CO,81301,9702472258,Package
AMORE VINO,10111 INVERNESS MAIN ST # G,ENGLEWOOD,CO,80112,7202195096,Package
DRY CREEK DISCOUNT LIQUORS,7500 S UNIVERSITY BLVD,CENTENNIAL,CO,80122,3032209399,Package
MOES ORIGINAL BBQ,530 BROADWAY,DENVER,CO,80203,3036301980,Package
RAMPART LIQUORS,7635 N. UNION BLVD.,COLO SPGS,CO,80920,7195990715,Package
UNION JACK LIQUORS,1160 E SOUTH BOULDER R,LOUISVILLE,CO,80027,3036667616,Package
TRE (THE BAYOU),109 DANBURY RD,RIDGEFIELD,CT,068770000,2038945276,Package
CONNECTICUT FINE WINE & SPIRIT,380 MAIN AVE,NORWALK,CT,068511553,0,Package
BLACK-EYED SALLY'S BBQ,350 ASYLUM STREET,HARTFORD,CT,06103,8602787427,Package
TONY'S PACKAGE,446 BIRGE PARK RD,HARWINTON,CT,067910000,8604851490,Package
FAIRGROUNDS WINE & SPIRITS,19 SUGAR HOLLOW ROAD,DANBURY,CT,068100000,2037922152,Package
STATELINE WINE & SPIRITS,PO BOX 695,NORTH CANAAN,CT,060180000,8608247295,Package
CREATIVE COOKING,1835 BOSTON POST/P.O. 126,WESTBROOK,CT,06498,8603997872,Package
GOOD SPIRITS PKG STORE,340 NORTH ELM STREET,TORRINGTON,CT,067900000,8604960726,Package
RED HOUSE,158 MAIN STREET,DEEP RIVER,CT,06417,8605262600,Package
FRESH MARKET OF CT,315 WEST MAIN STREET,AVON,CT,06001,8606770756,Package
VIRGIL'S REAL BBQ,1 MOHEGAN SUN BLVD STE H1,UNCASVILLE,CT,06382,8608620000,Package
VOODOO GRILL,12 WATER STREET,MYSTIC,CT,06355,8605724422,Package
CRAZY BRUCE'S WEST HTFD,176 H NEWINGTON ROAD,WEST HARTFORD,CT,06110,8602332117,Package
CORK N BARREL,266 S MAIN ST,NEWTOWN,CT,064700000,2032707600,Package
LOU'S WESTBROOK PACKAGE,1271 BOSTON POST/BOX 135,WESTBROOK,CT,06498,8603991198,Package
VILLA SPIRIT SHOPPE,591 MIDDLE TURNPIKE,STORRS,CT,06268,8604296421,Package
WORLDWIDE WINE & SPIRITS,480 QUEEN STREET,SOUTHINGTON,CT,06489,8602765801,Package
LIQUOR DEPOT,687 W. MAIN ST  COR-WEST,NEW BRITAIN,CT,06051,8602237140,Package
THE CORK FINE WINE & SPIRITS,1597 EAST MAIN ST.,TORRINGTON,CT,067900000,8604960400,Package
BOTTLE STOP WINE & SPIRITS,5 QUEEN STREET,NEWTOWN,CT,064700000,2033649711,Package
WATERFORD WINE & SPIRITS,825-829 HARTFORD TURNPIKE,WATERFORD,CT,06385,8604379740,Package
BANC HOUSE,16 RIVER ST,NORWALK,CT,068500000,2039845818,Package
PLAZA PACKAGE STORE,568 PROVIDENCE ROAD,BROOKLYN,CT,06234,8607745616,Package
TOTAL WINE & MORE N.TOWNE,NORTHTOWNE SHPG.CTR.,CLAYMONT,DE,19703,3027921322,Package
PO'BOYS CREOLE & FR CATCH,900 PALMER STREET  UNIT B,MILTON,DE,19968,13026840890,Package
OCEAN WINE & SPIRITS,19724 COASTAL HIGHWAY,REHOBOTH,DE,19971,13022277700,Package
NORA LEES FRENCH QTR BSTR,124 DELAWARE STREET,NEW CASTLE,DE,19720,0,Package
TOTAL WINE & MORE MILLTWN,1325 MCKENNANS CH.RD,WILMINGTON,DE,19808,3029945510,Package
MIKIMOTO'S SUSHI BAR,1212 WASHINGTON STREET,WILMINGTON,DE,19801,13026568638,Package
MOJO MAIN,270-272 EAST MAIN STREET,NEWARK,DE,19711,3023696656,Package
COASTAL WINES & SPRTS,12141 COASTAL HWY,MILTON,DE,19968,3026841135,Package
PECO INC.,522 PHILADELPHIA PK.,WILMINGTON,DE,19809,3027640377,Package
LIQUOR DEPOT,1010 FORREST AVE SUIT 114,DOVER,DE,19904,13027363050,Package
EMPLOYEES DOVER,883 HORSEPOND RD,DOVER,DE,19901,3026555511,Package
BLUE PARROT BAR & GRL,1932-34-36 WEST 6TH ST.,WILMINGTON,DE,19805,13026558990,Package
MILTON LIQUORS,112 BROADKILL RD,MILTON,DE,19968,13026843313,Package
MOJO 13,1706 PHILADELPHIA PIKE,WILMINGTON,DE,19809,7985798,Package
BEACH LIQUOR,RT.1 JEFFERSON BRIDGE RD.,BETHANY BEACH,DE,19930,13025397400,Package
ABC LIQUORS,FOX RUN SHOPPING CTR,BEAR,DE,19701,3028369463,Package
SAINT GEORGE'S COUNTRY ST,ONE DELAWARE STREET,SAINT GEORGES,DE,19733,3028368202,Package
THE RIGHT BOTTLE,699 JIMMY DRIVE SUITE 2-5,SMYRNA,DE,19977,13026536131,Package
STAR FISH COMPANY-12580,12306 46TH AV W,CORTEZ,FL,34215,9417941243,Package
TOTAL WINE & MORE #901-10636,1720 N DALE MABRY HWY,TAMPA,FL,33607,8133509601,Package
CAJUN CAFE ON BAYOU-04474,8101 PARK BLVD,PINELLAS PARK,FL,33781,7275466732,Package
FLIP FLOPS DOCKSIDE EATERY,3051 NE 32 AVE,FT LAUDERDALE,FL,33308,9545671672,Package
TOTAL WINE & MORE #902-42040,13705 S TAMIAMI TRAIL,FORT MYERS,FL,33912,2394320510,Package
TOTAL WINE & MORE # 907,4413 TOWN CENTER PKWY 300,JACKSONVILLE,FL,32246,19049981740,Package
TOTAL WINE & MORE #0909,2712 E. COLONIAL DR,ORLANDO,FL,32803,4078946553,Package
SHUCK N DIVE,650 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33304,9544620088,Package
WORLD MARKET #325-90498,8072 MEDITERRANEAN DR,ESTERO,FL,33928,2393901424,Package
THE FRESH MARKET,1650 AIRPORT BLVD SUITE 400,PENSACOLA,FL,32504,0,Package
TOTAL WINE & MORE #914-12880,8539 COOPER CREEK BLVD,UNIVERSITY PARK,FL,34201,9413517895,Package
SEMINOLE INDIAN CASINO-09892,5223 N ORIENT RD,TAMPA,FL,33610,8133939947,Package
GUMBO YA YAS,14333 BEACH BLVD #101,JACKSONVILLE,FL,32250,9042230202,Package
COCONUT JACKS-43045,5370 BONITA BEACH ROAD,BONITA SPRINGS,FL,34134,2396767777,Package
FRESH MARKET-54543,526-A 21ST STREET,VERO BEACH,FL,32960,7727942216,Package
TOTAL WINE & MORE #903,11221 LEGACY AVE,PALM BEACH GDNS,FL,33410,5616227340,Package
TOTAL WINE & MORE #910-05106,2528 STATE RD 580,CLEARWATER,FL,33761,7274311010,Package
LOBSTER LADY SEAFOOD- 44943,1715 CAPE CORAL PARKWAY W #2-3,CAPE CORAL,FL,33914,2394710136,Package
WORLD MARKET #244-43533,13741 S TAMIAMI TRAIL,FORT MYERS,FL,33912,2392269711,Package
ST MICHEALS PUB,513 W GAINES ST,TALLAHASSEE,FL,32301,8504430397,Package
HOT N JUICY CRAWFISH,7572 W SAND LAKE RD,ORLANDO,FL,32819,4073704655,Package
TOTAL WINE & MORE #913-07092,4880 PARK ST,ST PETERSBURG,FL,33709,7275446018,Package
WORLD MARKET #329-44129,2415 TARPON BAY BLVD UNIT3,NAPLES,FL,34119,2395661239,Package
TOTAL WINE & MORE #0920,4625 MILLENIA PLAZA WAY,ORLANDO,FL,32839,4073526330,Package
SAVE-A-LOT-44233,61 LEE ST UNIT 7,LABELLE,FL,33935,8636758080,Package
BONEFISH GRILL-00852,10750 STATE ROAD 54,NEW PORT RICHEY,FL,34655,7273727540,Package
CRISPY'S BEER & WINE BAR,604-608 BARNES BLVD,ROCKLEDGE,FL,32955,3218064112,Package
RED RABBIT,130 HWY 98,APALACHICOLA,FL,32320,8506538768,Package
CAJUN SPECIALTY MEATS,690 E. HEINBERG STREET,PENSACOLA,FL,32502,8504699400,Package
LEISURE CLUB,126 PALAFOX ST,PENSACOLA,FL,32502,0,Package
TAPS RESTAURANT BAR- 38251,9108 STRADA PLACE,NAPLES,FL,34108,2395985000,Package
CAROUSEL (THE),19440 FRONT BEACH RD,LAGUNA BEACH,FL,32413,8502342219,Package
HUB STACEY'S,312 E GOVERNMENT ST,PENSACOLA,FL,32501,8504691001,Package
YELLOW GREEN FARMER MARKET,1940 NORTH 30TH RD,HOLLYWOOD,FL,33021,9545627528,Package
SECOND STREET SPEAKEASY,21 SW 2ND STREET,GAINESVILLE,FL,32601,3522717569,Package
SHINE CAFE,337 N. SHINE AVE,ORLANDO,FL,32803,3212780409,Package
NADIYAS CABARET-06731,8804 66TH ST N,PINELLAS PARK,FL,33782,7275636298,Package
SHEPS BEER EMPOURIUM-05981,2001 4TH ST N,ST PETERSBURG,FL,33704,7278236565,Package
ANNA MARIA GENERAL STORE-12004,307 PINE AVE,ANNA MARIA,FL,34216,9413551421,Package
TOTAL WINE & MORE #918,8851 SW 136 ST,MIAMI,FL,33176,0,Package
BEAN AND GRAPE CAFE,1133 1ST STREET SOUTH,WINTER HAVEN,FL,33880,8632998140,Package
WORLD OF BEER-01258,2081 COLLIER PKWY,LAND O LAKES,FL,34639,8139489400,Package
CHOWDER TEDS INC,5215 HECKSCHER DR,JACKSONVILLE,FL,322263051,9047146900,Package
TOTAL WINE & MORE #905,5050 TOWN CENTER CIRCL,BOCA RATON,FL,33432,5613911281,Package
PCI/SOUTH FLORIDA FAIRGROUNDS,9067 SOUTHERN BLVD,WEST PALM BEACH,FL,33411,5615027505,Package
TOTAL WINE & MORE #904,1906 CORDOVA RD,FT LAUDERDALE,FL,33316,9548289463,Package
HOLLYWOOD VINE,2035 HARRISON ST,HOLLYWOOD,FL,33020,9549222910,Package
COCK & BULL PUB (THE)-16140,975 CATTLEMAN RD,SARASOTA,FL,34232,9416852686,Package
PP COBB GENERAL STORE-53278,100 AVE A STE 1C & 1D,FORT PIERCE,FL,34950,77246690227726200000,Package
FOREMOST LIQUORS & WINES,2640 BLANDING BLVD #207B,MIDDLEBURG,FL,32068,9042919400,Package
CAPPYS PIZZA SEMINOLE HEI-10756,4910 N FLORIDA AVE,TAMPA,FL,33603,8132381516,Package
WORLD OF BEER & BLEND,200 S PALAFOX ST,PENSACOLA,FL,32502,8507233784,Package
DAT CAJUN PLACE CAFE,8501 THOMAS DR,PANAMA CITY BCH,FL,32408,8508902663,Package
LUEKENS BIGTOWN LIQUORS-07224,3163 CURLEW RD #6,OLDSMAR,FL,33684,7277891789,Package
FANCYS SOUTHERN CAFE-44291,8890 SALROSE LANE UNIT 101,FORT MYERS,FL,33912,2395612988,Package
MELBOURNE BEACH SUPER MARKET,302 OCEAN AVE,MELBOURNE BEACH,FL,32901,3216765225,Package
V SEAGROVE RESTAURANT,2743 HWY 30A,SANTA ROSA BEACH,FL,32459,0,Package
TOTAL WINE & MORE #908-44053,5048 AIRPORT PULLING RD,NAPLES,FL,34105,2396494979,Package
